params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,total_running_time
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 10, 'feature_selection__max_features': 1881}",0.6761756448964459,0.05956169607979337,139,4.007682228088379,0.07373959671026939,0.07382149696350097,0.002879065289549637,4.08150372505188
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 10, 'feature_selection__max_features': 1692}",0.6761756448964459,0.05956169607979337,139,3.8992805004119875,0.04972337707251381,0.07268481254577637,0.005227944864795029,3.9719653129577637
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 10, 'feature_selection__max_features': 1504}",0.6761756448964459,0.05956169607979337,139,3.928268575668335,0.0503812956575652,0.0671299934387207,0.002190464430949277,3.9953985691070555
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 10, 'feature_selection__max_features': 1316}",0.6761756448964459,0.05956169607979337,139,3.8313324451446533,0.1105115906972316,0.07120094299316407,0.006476921773892379,3.9025333881378175
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 10, 'feature_selection__max_features': 940}",0.6761756448964459,0.05956169607979337,139,3.775225305557251,0.07163506805903949,0.06093335151672363,0.004217795279067152,3.8361586570739745
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 10, 'feature_selection__max_features': 752}",0.6761756448964459,0.05956169607979337,139,3.580469560623169,0.02158376255610589,0.06683425903320313,0.005803809095027262,3.647303819656372
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 30, 'feature_selection__max_features': 1881}",0.7406801207691085,0.050388477065681725,79,7.519672298431397,0.06229356399030569,0.10753636360168457,0.003728479890334779,7.627208662033081
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 30, 'feature_selection__max_features': 1692}",0.7406801207691085,0.050388477065681725,79,7.557525539398194,0.03653958308289451,0.10436859130859374,0.005634546655396551,7.661894130706788
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 30, 'feature_selection__max_features': 1504}",0.7406801207691085,0.050388477065681725,79,7.509290170669556,0.18373438955697374,0.12566652297973632,0.050847070736922136,7.6349566936492925
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 30, 'feature_selection__max_features': 1316}",0.7406801207691085,0.050388477065681725,79,7.759613847732544,0.21370670692235072,0.09498310089111328,0.004023324108816277,7.854596948623657
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 30, 'feature_selection__max_features': 940}",0.7406801207691085,0.050388477065681725,79,7.07198429107666,0.0789215479584614,0.08314676284790039,0.0015865458851697927,7.155131053924561
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 30, 'feature_selection__max_features': 752}",0.7406801207691085,0.050388477065681725,79,6.464809131622315,0.02614824386327522,0.0865468978881836,0.007245779286163317,6.551356029510498
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 50, 'feature_selection__max_features': 1881}",0.7231643625192012,0.012497611268663892,104,11.34562726020813,0.050267675854842805,0.15210700035095215,0.004631024297088577,11.497734260559081
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 50, 'feature_selection__max_features': 1692}",0.7231643625192012,0.012497611268663892,104,11.383182430267334,0.09594680209925556,0.14068927764892578,0.006568578098143731,11.52387170791626
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 50, 'feature_selection__max_features': 1504}",0.7231643625192012,0.012497611268663892,104,11.50734610557556,0.08870253414529791,0.15145792961120605,0.012328427267070171,11.658804035186767
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 50, 'feature_selection__max_features': 1316}",0.7231643625192012,0.012497611268663892,104,10.789325666427612,0.22016477846429622,0.13183722496032715,0.009110125325533697,10.921162891387938
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 50, 'feature_selection__max_features': 940}",0.7231643625192012,0.012497611268663892,104,9.959793281555175,0.1848594957354391,0.11064639091491699,0.006637786245902004,10.070439672470092
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 50, 'feature_selection__max_features': 752}",0.7231643625192012,0.012497611268663892,104,9.386952781677246,0.06727841710891133,0.1045997142791748,0.0035168771911392874,9.491552495956421
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 70, 'feature_selection__max_features': 1881}",0.7250299274325971,0.021668626495258834,92,14.775055074691773,0.06369117392130418,0.20640192031860352,0.004179642722467075,14.981456995010376
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 70, 'feature_selection__max_features': 1692}",0.7250299274325971,0.021668626495258834,92,14.499717140197754,0.0998947330145241,0.19399065971374513,0.0072678427308852074,14.693707799911499
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 70, 'feature_selection__max_features': 1504}",0.7250299274325971,0.021668626495258834,92,14.17956247329712,0.1071865033851256,0.1696232318878174,0.006475919583135881,14.349185705184937
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 70, 'feature_selection__max_features': 1316}",0.7250299274325971,0.021668626495258834,92,13.94490351676941,0.07490821606734162,0.15716218948364258,0.004633852617773799,14.102065706253052
"{'ada_classifier__learning_rate': 0.01, 'ada_classifier__n_estimators': 70, 'feature_selection__max_features': 940}",0.7250299274325971,0.021668626495258834,92,13.138846302032471,0.33090047949677737,0.1336240291595459,0.006218837849275352,13.272470331192016
